Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,Video Published,Comment Published
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Trump 2020: ""Person. Woman. Man. Camera. TV.""
Trump 2021: ""Prison. Guard. Jumpsuit. Cell. Bars.""",UgyAyQlXtO4wlhN_nXp4AaABAg,11,200,2021-06-05T02:34:14Z,2021-06-05T02:55:34Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I love that their one vaccinated guest is a real lady rocket scientist. Women in STEM rock!,UgzlPwORg4qZGqrAZkB4AaABAg,7,171,2021-06-05T02:34:14Z,2021-06-05T07:37:07Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Respect to everyone’s fav manchild, Haley Joel Osment",Ugyx3s7XGM603vCnY0N4AaABAg,15,194,2021-06-05T02:34:14Z,2021-06-05T02:58:28Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"We, we, we ( all he did was sleep the last 4 years, eyes open/closed )",UgzRN-zi0DKAIHHZy3x4AaABAg,1,35,2021-06-05T02:34:14Z,2021-06-05T03:10:38Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"A trail of Reese's Pieces is as likely to catch James Woods as an alien, though.",Ugxu5p6BXOtGpsRsMyB4AaABAg,7,54,2021-06-05T02:34:14Z,2021-06-05T03:07:33Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,He thinks he’s gonna be President again by reinstatement? He can’t even get social media to bring him back!,Ugz_af4Kb3ykJlH2NhZ4AaABAg,13,119,2021-06-05T02:34:14Z,2021-06-05T04:57:56Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Keanu memes! Keanu Inu crypto all day!,UgxgKmWvjUbBkmyYwd94AaABAg,19,52,2021-06-05T02:34:14Z,2021-06-05T06:36:02Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Good to see you wearing an orange tie, Jimmy.",UgywI1bbhh4tgCY3hwR4AaABAg,5,29,2021-06-05T02:34:14Z,2021-06-05T03:00:36Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I don't see eye to eye with a lot of people but they never tried to hang me for it .,UgzmnZqiUB9a0AeQfAV4AaABAg,3,103,2021-06-05T02:34:14Z,2021-06-05T05:53:30Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Haley Joel Osment rocked the Just Braden sketch! He needs to do more comedy.,UgxYLOjiitSKxfj6ZaR4AaABAg,5,39,2021-06-05T02:34:14Z,2021-06-05T03:49:55Z
